Code,Description,Sell,Matrix Master,Inventoried,Inventory,Quantity Total,Quantity Reserved,Quantity in Warehouses,Quantity Ordered For Customers,Quantity Ordered For Stock
error,,169,unchecked,checked,0,0,0,0,0,0
661-5871-Third Party," 661-5871 Apple Top Case with Backlit Keyboard for MacBook Pro 13"" Unibody Early 2011 ",199,unchecked,unchecked,0,0,0,0,0,0
 922-8182 - 3rd Party," Apple Rear Housing Cover for iMac 24"" Mid 2007",119,unchecked,checked,0,0,0,0,0,0
922-8702 - 3rd Party," Right Fan Assembly for MacBook Pro 15"" Unibody Mid 2010  Early - Late 2011  Mid 2012",49,unchecked,unchecked,0,0,0,0,0,0
S5274Z/A,1 Part Flat Rate Quote  Powerbeats Pro,99,unchecked,unchecked,1,1,0,0,0,0
OWCS3DAP12RT01,1.0TB OWC Aura Pro 6Gb/s SSD for MacBook Pro with Retina Display (2012 - Early 2013),269,unchecked,unchecked,0,0,0,0,0,0
661-7476,1.3GHz  4GB  Turbo  Logic Board,0,unchecked,unchecked,0,0,0,0,0,0
661-6625,1.7GHz  4GB  Logic Board,0,unchecked,unchecked,0,0,0,0,0,0
661-7479,1.7GHz  8GB  Turbo  Logic Board,449,unchecked,unchecked,0,0,0,0,0,0
661-6631,1.8GHz  4GB  Logic Board,449,unchecked,unchecked,0,0,0,0,0,0
661-10043,12.9 in  ANSI  Smart Keyboard  iPad Pro,199,unchecked,unchecked,1,1,0,0,0,0
661-05800,128GB  Black  MM  iPhone 7 Plus  CI/AR,349,unchecked,unchecked,1,1,0,0,0,0
661-05473,128GB  Black  MM  iPhone 7  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-10858,128GB  Black  NA  iPhone XR  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-03731,128GB  Flash Storage,339,unchecked,unchecked,0,0,0,0,0,0
661-06895,128GB  Gold   iPad (5th generation) Wi-Fi + Cellular,0,unchecked,unchecked,1,1,0,0,0,0
661-02160,128GB  Gold  iPad Pro 12.9-inch  Wi-Fi + Cellular,599,unchecked,unchecked,1,1,0,0,0,0
661-13272,128GB  Green  NA  iPhone 11  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-05790,128GB  Jet Black  GSM  iPhone 7 Plus  CI/AR,349,unchecked,unchecked,0,0,0,0,0,0
661-07512,128GB  Red  MM  iPhone 7  CI/AR,319,unchecked,unchecked,0,0,0,0,0,0
661-05789,128GB  Rose Gold  GSM  iPhone 7 Plus  CI/AR,349,unchecked,unchecked,0,0,0,0,0,0
661-05476,128GB  Rose Gold  MM  iPhone 7  CI/AR,0,unchecked,unchecked,2,2,0,0,0,0
661-09655,128GB  Silver  iPad (6th gen)  Wi-Fi,0,unchecked,checked,0,0,0,0,0,0
661-09664,128GB  Space Gray  iPad (6th gen)  Cellular,0,unchecked,unchecked,1,1,0,0,0,0
661-09654,128GB  Space Gray  iPad (6th gen)  Wi-Fi,299,unchecked,unchecked,0,0,0,0,0,0
661-02140,128GB  Space Gray  iPad Pro 12.9-inch  Wi-Fi,99,unchecked,unchecked,1,1,0,0,0,0
661-02152,128GB  Space Gray  iPad Pro 12.9-inch  Wi-Fi + Cellular,599,unchecked,unchecked,1,1,0,0,0,0
923-00412,12” Macbook I/O Board,0,unchecked,checked,1,1,0,0,0,0
661-4713 - 3rd Party,"13.3"" MacBook Display Glossy LCD Screen",199,unchecked,unchecked,0,0,0,0,0,0
661-8144,13” Late 2013 Logic Board  2.4GHZ  4 GB,449,unchecked,unchecked,0,0,0,0,0,0
OCSO2400/16GB,16GB DDR3 2400/PC4-19200 SO-DIMM ,129,unchecked,checked,0,0,0,0,0,0
661-03106,16GB Rose Gold  Non-Band  30  iPhone 6s  CI/AR,319,unchecked,unchecked,1,1,0,0,0,0
661-08259,185W Power Supply ,0,unchecked,unchecked,1,1,0,0,0,0
661-08894,1TB Flash Storage,0,unchecked,unchecked,2,2,0,0,0,0
OWCSSDA2A6K960,1TB SSD for MacBook Air (13-inch  Mid 2012),649,unchecked,checked,0,0,0,0,0,0
Z0TH00047,2.3GHz dual-core 7th-generation Intel Core i5 processor  Turbo Boost up to 3.6GHz 8GB 2133MHz DDR4 1TB Serial ATA Drive @ 5400 rpm Intel Iris Plus Graphics 640 Magic Trackpad 2 Magic Keyboard - US English,"1,099.00",unchecked,checked,0,0,0,0,0,0
BRACKET25X2,2.5” SATA to 3.5” Mounting Kit,19,unchecked,unchecked,0,0,0,0,0,0
MBP Safety REP,2015 MBP Battery Safety Recall,0,unchecked,unchecked,1,1,0,0,0,0
OWCSSD7E3G240,240GB OWC Mercury Electra 3G SSD 7MM,169,unchecked,unchecked,1,1,0,0,0,0
OWCS3DAP116G250,250GB Aura Pro 6G Solid-State Drive for MacBook Air (2010-2011),139,unchecked,checked,-2,-2,0,0,0,0
OWCS3DAP12R250,250GB OWC Aura Pro 6Gb/s SSD for MacBook Pro with Retina Display (2012 - Early 2013),149,unchecked,checked,0,0,0,0,0,0
661-05805,256GB  Black  MM  iPhone 7 Plus  CI/AR,349,unchecked,unchecked,0,0,0,0,0,0
661-10864,256GB  Black  NA  iPhone XR  CI/AR,0,unchecked,unchecked,0,0,0,0,0,1
661-06827,256GB  Gold  iPad Pro 12.9-inch (2nd generation)  Wi-Fi,0,unchecked,checked,0,0,0,0,0,0
661-10630,256GB  Gold  iPhone Xs Max  NA  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-10630,256GB  Gold  iPhone Xs Max  NA  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-13752,256GB  Gold  NA  iPhone 11 Pro Max  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-13753,256GB  Midnight Green  NA  iPhone 11 Pro Max  CI/AR,0,unchecked,unchecked,3,3,0,0,0,0
661-08698,256GB  Silver  GSM  iPhone X  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-10621,256GB  Silver  iPhone Xs Max  NA  CI/AR,599,unchecked,unchecked,1,1,0,0,0,0
661-08716,256GB  Silver  MM  iPhone X  CI/AR,549,unchecked,unchecked,0,0,0,0,0,0
661-08480,256GB  Space Gray  GSM  iPhone 8 Plus,399,unchecked,unchecked,0,0,0,0,0,0
661-08697,256GB  Space Gray  GSM  iPhone X  CI/AR,599,unchecked,unchecked,0,0,0,0,0,0
661-06857,256GB  Space Gray  iPad Pro 10.5-inch  Wi-Fi,449,unchecked,unchecked,0,0,0,0,0,0
661-10612,256GB  Space Gray  iPhone Xs Max  NA  CI/AR,599,unchecked,unchecked,0,0,0,0,0,0
661-08715,256GB  Space Gray  MM  iPhone X  CI/AR,0,unchecked,unchecked,1,1,0,0,0,0
661-02141,256GB  Space Gray  Wi-Fi  iPad Pro 12.9-inch,599,unchecked,unchecked,0,0,0,0,0,0
MJ262LL/A,29W USB-C Power Adapter,49,unchecked,checked,0,0,0,0,0,0
661-12545,2TB Hard Drive,0,unchecked,unchecked,0,0,0,0,0,0
661-05782,32GB  Black  GSM  iPhone 7 Plus  CI/AR,349,unchecked,unchecked,0,0,0,0,0,0
661-05469,32GB  Black  MM  iPhone 7  CI/AR,319,unchecked,unchecked,1,1,0,0,0,0
661-05784,32GB  Gold  GSM  iPhone 7 Plus  CI/AR Out,349,unchecked,unchecked,0,0,0,0,0,0
661-09653,32GB  Gold  iPad (6th gen)  Wi-Fi,299,unchecked,unchecked,1,1,0,0,0,0
661-02147,32GB  Gold  iPad Air 2  Wi-Fi,299,unchecked,unchecked,0,0,0,0,0,0
661-12966,32GB  Red  iPod touch (7th gen)  CI/AR,0,unchecked,unchecked,2,2,0,0,0,0
661-05646,32GB  Rose Gold  iPhone 6s  B30  CI/AR,0,unchecked,unchecked,2,2,0,0,0,0
661-05654,32GB  Rose Gold  iPhone 6s  B30  WUR,0,unchecked,unchecked,0,0,0,0,0,0
661-09652,32GB  Silver  iPad (6th gen)  Wi-Fi,249,unchecked,unchecked,1,1,0,0,0,0
661-02142,32GB  Silver  iPad Pro 12.9 Inch,619,unchecked,unchecked,2,2,0,0,0,0
661-09651,32GB  Space Gray  iPad (6th gen)  Wi-Fi,249,unchecked,unchecked,7,7,0,0,0,0
661-09651,32GB  Space Gray  iPad (6th gen)  Wi-Fi,0,unchecked,unchecked,2,2,0,0,0,0
661-02139 - Battery Only Price,32GB  Space Gray  iPad Air 2  Wi-Fi,119,unchecked,unchecked,1,1,0,0,0,0
661-02138,32GB  Space Gray  iPad Pro 12.9-inch  Wi-Fi,99,unchecked,unchecked,1,1,0,0,0,0
661-05907,32GB  Space Gray  iPhone 6s Plus  NB30  CI/AR,0,unchecked,unchecked,0,0,0,0,0,0
661-04569,38.75-watt-hour Battery,129,unchecked,unchecked,3,3,0,0,0,0
900302,3TB Porsche Design P’9233 USB3,199,unchecked,checked,0,0,0,0,0,0
HKSW0301SH4,3x1 HDMI Switch with Remote - 3D Ready,39,unchecked,checked,0,0,0,0,0,0
923-01094,4.7-inch Display Protective Cover,0,unchecked,unchecked,1,1,0,0,0,0
OWCS3DAPT4MB05,480GB Aura Pro X2 SSD Upgrade (Blade Only) for Select 2013 & Later Macs,229,unchecked,unchecked,1,1,0,0,0,0
OWCSSDAP12R480,480GB OWC Aura 6G Solid-State Drive for 2012-13 MacBook Pro with Retina display,329,unchecked,checked,0,0,0,0,0,0
OWCSSDAB2MB05,480GB OWC Aura PCIe SSD,199,unchecked,unchecked,1,1,0,0,0,0
